kouhaku_name,rank,spotify_id,spotify_name,followers,popularity,similarity,score
坂本冬美,5,3ienC90A5I1X3irDyQoqWZ,Teresa Teng,642225,57,0.0,36.29008803177207
乃木坂46,1,0Ti7MfCiVVQAK8zLSiqlto,櫻坂46,215797,59,0.6666666666666666,71.32686125029616
乃木坂46,2,1To19SbBXcjHMKOt1CELkh,乃木坂46,286,10,1.0,62.52728299912447
乃木坂46,3,2rUfBClgdqQ4Svcg0A6gIl,乃紫,131398,58,0.2857142857142857,54.96538037817444
乃木坂46,4,08lN7bm4Etec8ETFxaTUmq,Nogizaka46,1306533,62,0.26666666666666666,49.278611167275706
乃木坂46,5,03E7w8NrBr4lNCK33TQyil,Keyakizaka46,627303,49,0.23529411764705882,44.05809626803648
鈴木雅之,1,4vlCoOuaIiPgMmvugr6Dw7,鈴木雅史,282,11,0.75,52.701067607082976
鈴木雅之,2,1LQQtqc1vQ1neUgZrjYlEU,Yumi Matsutoya,1216390,59,0.0,37.87888360484797
鈴木雅之,3,3vVDusnDA0LcPH3NvZpoyM,Noriyuki Makihara,1036871,59,0.0,37.58167740557528
鈴木雅之,4,5KLvrcsAUwqMOqxErwSJmD,Koji Tamaki,403514,56,0.0,35.2251083168052
鈴木雅之,5,7HRu4Npbza5TBWn74TkAOF,Masayuki Suzuki,316361,52,0.0,33.97221259851111
五木ひろし,1,0rzpWNBSV7jYj26u2XhxEC,五木ひろし,20,0,1.0,55.57584283855992
五木ひろし,2,37uug7RFxqKPDMUEzd6Ym1,木の実ナナ/五木ひろし,13,0,0.6666666666666666,41.44070960512454
五木ひろし,3,0jMZY406RfgjK6PFKIRfAv,Kohmi Hirose,236712,49,0.0,32.83237260643666
五木ひろし,4,1QXFMGfCga8qSyUtVmjXrE,Hiroko Yakushimaru,154637,49,0.0,32.03991463858896
五木ひろし,5,0MYnDCY3ae0nSzoCmQiKzh,Hiromi Go,56603,48,0.0,29.96931192737312
瑛人,1,6yyHILrojOyOKNvly7Yu0j,柊人,34618,51,0.5,59.654151315384894
瑛人,2,5iUcWpImiyRXhdNVOQZIVI,東雲彰人,5126,33,0.3333333333333333,45.83238448411144
瑛人,3,0ixzjrK1wkN2zWBXt3VW3W,Yuuri,3190492,68,0.0,41.4736756856627
瑛人,4,61gixLds98qjyokvnkNzkc,詠人不知,220,6,0.3333333333333333,34.572287679714215
瑛人,5,0ayU6CR43tInomJqB9JfRw,Yo-Sea,117846,56,0.0,32.93420648296558
郷ひろみ,1,0M1B7N73s7PrVKxRg47eFH,郷ひろみ,22,0,1.0,55.7532400606666
郷ひろみ,2,0llYwFIMgF9Jzmp4ZY7wbr,KOBUKURO,1530646,59,0.0,38.306606118136656
郷ひろみ,3,3vVDusnDA0LcPH3NvZpoyM,Noriyuki Makihara,1036871,59,0.0,37.58167740557528
郷ひろみ,4,37yA8FvkJWnXZXbRg4IQaT,Hiroji Miyamoto,137139,53,0.0,32.616404192805305
郷ひろみ,5,4ODvJoXQmuckB89qwmCzTd,Kenji Sawada,120864,45,0.0,30.781272699203274
Official髭男dism,1,5Vo1hnCRmCM6M4thZCInCj,OFFICIAL HIGE DANDISM,7428275,71,0.7272727272727273,72.7375718334287
Official髭男dism,2,4vCbWKBkixqmN1koKIN8sG,山根万理奈 & Official髭男dism,610,23,0.8484848484848485,60.476521803725795
Official髭男dism,3,5V0oa9WaeYkBszHV6ItVD6,なにわ男子,228853,58,0.10526315789473684,48.780054643943124
Official髭男dism,4,6MGHit7sV38BhpChZYByFv,SHISHAMO,696930,59,0.2727272727272727,47.75133016422866
Official髭男dism,5,71UIOLnsacxQHlU55TvfiH,Da-iCE,829872,62,0.21052631578947367,46.18824311019297
関ジャニ∞,1,1XYuC1vxinTjHCNd5clB8C,ARASHI,2825751,66,0.0,40.84771667127701
関ジャニ∞,2,4DDoAL8n6ob19r3jOZEbJI,Kana Nishino,2027423,63,0.0,39.629761581509
関ジャニ∞,3,7fmXV2O48buswss04YetaN,HANA,504894,70,0.0,38.442286613036046
関ジャニ∞,4,6zGmypGQUBXD4ZC9EbfMme,EXILE,1100537,61,0.0,38.092591348974324
関ジャニ∞,5,64BB3FFJokfd3owfpnwxb0,Hey! Say! JUMP,227773,57,0.0,34.36072389398279
東京事変,1,2XjqKvB2Xz9IdyjWPIHaXi,Sheena Ringo,2128926,66,0.0,40.32068813967388
東京事変,2,7i9bNUSGORP5MIgrii3cJc,B'z,1245875,67,0.0,39.52346201972428
東京事変,3,0llYwFIMgF9Jzmp4ZY7wbr,KOBUKURO,1530646,59,0.0,38.306606118136656
東京事変,4,6KQWWzFLPQbqomJrieHAW5,Tokyo Incidents,921250,54,0.0,36.36161786085903
東京事変,5,3jdzcmtw5XOmOkSb2mRDtr,T.M.Revolution,420872,53,0.0,34.70350014456122
ゆず,1,5kjGRHClVacSyllOUqU1S0,SPITZ,2771586,66,0.0,40.81169296685487
ゆず,2,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,1501212,70,0.0,40.470465831310406
ゆず,3,14T8NkbwXVZgbOvwnuGV89,GReeeeN,2535327,62,0.0,39.845859920606394
ゆず,4,0llYwFIMgF9Jzmp4ZY7wbr,KOBUKURO,1530646,59,0.0,38.306606118136656
ゆず,5,7lNFzeAXmSIKexINNgO6bu,YUZU,2007913,56,0.0,38.21176382080666
