artist,artist_normalized,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks,has_spotify_data,past_appearances,prev_year_appeared,consecutive_years,appeared
Ayase,Ayase,2022,42.0,12504859.0,66.0,105.38095238095238,0.0,0.0,1,0,0,0,0
Ayase,Ayase,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ayase,Ayase,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMETAL,BABYMETAL,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMETAL,BABYMETAL,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMETAL,BABYMETAL,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMETAL,BABYMETAL,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMETAL,BABYMETAL,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,1
BABYMETAL,BABYMETAL,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,1,1,1,0
BABYMETAL,BABYMETAL,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,1,0,0,0
BABYMETAL,BABYMETAL,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,1,0,0,0
BABYMETAL,BABYMETAL,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,1,0,0,0
BABYMONSTER,BABYMONSTER,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMONSTER,BABYMONSTER,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMONSTER,BABYMONSTER,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMONSTER,BABYMONSTER,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMONSTER,BABYMONSTER,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMONSTER,BABYMONSTER,2021,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMONSTER,BABYMONSTER,2022,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
BABYMONSTER,BABYMONSTER,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
