artist,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks
NAYEON,2022,27,21462347,8,39.407407407407405,5,0
NAYEON,2023,28,8934013,101,147.07142857142858,0,0
NewJeans,2022,43,15826083,12,101.44186046511628,0,0
NewJeans,2023,242,185052149,4,59.413223140495866,26,0
NewJeans,2024,277,148012605,15,101.03971119133574,0,0
NewJeans,2025,22,8171340,109,161.72727272727272,0,0
Nissy,2020,51,10470842,37,93.43137254901961,0,0
Nissy,2021,1,134344,200,200.0,0,0
NiziU,2020,33,41503439,3,8.666666666666666,31,0
NiziU,2021,183,111756651,7,68.31693989071039,10,0
NiziU,2022,42,12152729,47,132.11904761904762,0,0
Novelbright,2020,56,35777613,14,27.839285714285715,0,0
Novelbright,2021,104,59608819,25,51.41346153846154,0,0
Novelbright,2022,136,68929777,7,79.11764705882354,6,0
Novelbright,2023,105,60124881,18,97.04761904761905,0,0
Novelbright,2024,147,68639542,52,107.31292517006803,0,0
Novelbright,2025,144,71792441,59,100.48611111111111,0,0
Number_i,2024,102,118792953,4,28.176470588235293,7,0
Number_i,2025,178,177961179,11,36.98876404494382,0,0
OFFICIAL HIGE DANDISM,2020,454,375030403,1,22.10352422907489,205,20
OFFICIAL HIGE DANDISM,2021,527,274545278,4,80.36053130929791,23,0
OFFICIAL HIGE DANDISM,2022,408,251626999,1,88.52696078431373,30,12
OFFICIAL HIGE DANDISM,2023,482,328972547,1,83.90871369294605,48,14
OFFICIAL HIGE DANDISM,2024,339,179662013,6,111.06784660766962,5,0
OFFICIAL HIGE DANDISM,2025,233,115585760,22,121.18884120171674,0,0
ONE OK ROCK,2020,223,45641821,33,115.97757847533633,0,0
ONE OK ROCK,2021,142,42047439,9,127.72535211267606,4,0
ONE OK ROCK,2022,38,8105701,121,173.23684210526315,0,0
ONE OK ROCK,2023,12,3686604,171,185.16666666666666,0,0
ONE OK ROCK,2024,27,9472107,128,173.07407407407408,0,0
ONE OK ROCK,2025,65,26131420,102,149.87692307692308,0,0
ORANGE RANGE,2022,1,197654,196,196.0,0,0
ORANGE RANGE,2023,5,1457062,148,174.6,0,0
ORANGE RANGE,2024,4,1377731,149,180.25,0,0
ORANGE RANGE,2025,25,15321919,34,94.48,0,0
Omoinotake,2024,48,86556396,2,11.3125,32,0
Omoinotake,2025,48,53050678,12,29.479166666666668,0,0
Orangestar,2021,3,597225,187,190.33333333333334,0,0
Orangestar,2022,51,11974605,109,154.84313725490196,0,0
Orangestar,2023,23,7287118,100,144.95652173913044,0,0
Orangestar,2024,10,3244515,157,182.8,0,0
QUEEN BEE,2023,27,19872021,18,61.7037037037037,0,0
RADWIMPS,2020,22,5340058,74,98.9090909090909,0,0
RADWIMPS,2021,26,5434034,92,141.23076923076923,0,0
RADWIMPS,2022,26,20909108,8,54.42307692307692,5,0
RADWIMPS,2023,57,23707675,20,132.57894736842104,0,0
RADWIMPS,2024,42,16566233,66,141.95238095238096,0,0
RADWIMPS,2025,109,46932506,61,138.8256880733945,0,0
ROSÉ,2024,10,25124688,1,1.8,10,8
ROSÉ,2025,48,51825943,2,53.041666666666664,14,0
Reol,2020,21,6474987,55,78.23809523809524,0,0
Reol,2021,43,10892403,56,121.93023255813954,0,0
Rin音,2020,30,25902137,12,17.7,0,0
Rin音,2021,52,29262393,26,68.25,0,0
Rin音,2022,1,184085,180,180.0,0,0
Rokudenashi,2023,1,275728,200,200.0,0,0
Rokudenashi,2024,44,16414711,98,156.0681818181818,0,0
Rokudenashi,2025,1,340048,162,162.0,0,0
Ryokuoushoku Shakai,2020,36,8507248,53,102.58333333333333,0,0
Ryokuoushoku Shakai,2021,52,23088036,47,58.23076923076923,0,0
Ryokuoushoku Shakai,2022,52,41948061,22,33.23076923076923,0,0
Ryokuoushoku Shakai,2023,82,51766357,8,66.90243902439025,1,0
Ryokuoushoku Shakai,2024,119,63249355,9,111.97478991596638,1,0
Ryokuoushoku Shakai,2025,69,28750467,98,136.81159420289856,0,0
SEKAI NO OWARI,2020,10,8451766,5,39.4,3,0
SEKAI NO OWARI,2021,52,24381663,12,94.96153846153847,0,0
SEKAI NO OWARI,2022,46,42515318,2,48.71739130434783,18,0
SEKAI NO OWARI,2023,70,45242579,10,86.82857142857142,1,0
SEKAI NO OWARI,2024,109,59964473,21,113.54128440366972,0,0
SEKAI NO OWARI,2025,2,656744,168,180.5,0,0
SG,2021,6,1188826,168,183.5,0,0
SG,2022,52,15896219,69,106.90384615384616,0,0
SG,2023,16,5146656,84,135.875,0,0
SG,2025,1,350841,188,188.0,0,0
SHISHAMO,2020,34,5225961,79,118.32352941176471,0,0
SHISHAMO,2025,18,7163963,87,160.55555555555554,0,0
SORANE,2020,30,10186327,52,65.0,0,0
SORANE,2021,30,6937331,67,129.33333333333334,0,0
SOUTHERN ALL STARS,2022,6,1274375,178,185.83333333333334,0,0
SOUTHERN ALL STARS,2023,16,5539821,79,134.9375,0,0
SOUTHERN ALL STARS,2024,11,4091219,121,156.63636363636363,0,0
SOUTHERN ALL STARS,2025,10,3816942,148,165.2,0,0
SPITZ,2020,113,16775577,67,136.30088495575222,0,0
SPITZ,2021,50,9798228,115,166.04,0,0
SPITZ,2022,67,21670985,56,111.50746268656717,0,0
SPITZ,2023,179,109135421,2,105.72625698324022,22,0
SPITZ,2024,176,106294763,21,97.0340909090909,0,0
SPITZ,2025,178,83794538,56,116.6067415730337,0,0
SPYAIR,2024,41,35771624,6,78.26829268292683,7,0
SPYAIR,2025,14,4924151,138,177.5,0,0
SUDA MASAKI,2020,113,72425263,4,27.86725663716814,27,0
SUDA MASAKI,2021,156,77946315,5,86.01282051282051,12,0
SUDA MASAKI,2022,129,38301183,42,145.73643410852713,0,0
SUDA MASAKI,2023,85,26164450,61,169.2,0,0
SUDA MASAKI,2024,43,14614863,145,174.37209302325581,0,0
SUDA MASAKI,2025,48,18729070,105,160.125,0,0
Sabrina Carpenter,2024,28,12070831,69,124.07142857142857,0,0
Sabrina Carpenter,2025,4,1363923,165,177.75,0,0
Saucy Dog,2020,51,9431690,80,117.6078431372549,0,0
Saucy Dog,2021,60,17585558,19,130.46666666666667,0,0
Saucy Dog,2022,277,164961637,2,64.5740072202166,49,0
Saucy Dog,2023,168,95683110,8,96.92261904761905,8,0
Saucy Dog,2024,95,43483136,37,118.50526315789473,0,0
Saucy Dog,2025,93,43599304,58,120.16129032258064,0,0
Sheena Ringo,2020,41,6786772,58,117.3170731707317,0,0
Sheena Ringo,2021,2,364942,182,191.0,0,0
Sheena Ringo,2022,37,9052135,100,147.2972972972973,0,0
Sheena Ringo,2023,41,13075468,100,146.29268292682926,0,0
Sheena Ringo,2025,24,10069200,85,142.75,0,0
Shota Shimizu,2020,49,7396729,80,145.10204081632654,0,0
Shota Shimizu,2021,57,18554241,51,95.24561403508773,0,0
Shota Shimizu,2022,83,22317142,76,123.75903614457832,0,0
Shota Shimizu,2023,4,1001360,193,196.75,0,0
Shota Shimizu,2025,36,32844181,14,49.72222222222222,0,0
Soushi Sakiyama,2023,25,21829998,10,51.56,1,0
Soushi Sakiyama,2024,4,1361474,122,153.25,0,0
Stray Kids,2022,12,5204868,60,69.08333333333333,0,0
Stray Kids,2023,24,9090160,65,109.29166666666667,0,0
SugLawd Familiar,2023,35,16821271,51,76.0,0,0
Sukima Switch,2020,104,24095222,33,103.00961538461539,0,0
Sukima Switch,2021,52,10427219,131,157.1346153846154,0,0
Sukima Switch,2022,71,17081912,82,144.67605633802816,0,0
Sukima Switch,2023,29,9018969,117,171.6551724137931,0,0
Sukima Switch,2024,38,14298000,76,152.0,0,0
Sukima Switch,2025,83,50482114,31,98.09638554216868,0,0
Superfly,2020,53,13487551,35,90.32075471698113,0,0
Superfly,2021,19,3337010,129,172.89473684210526,0,0
Superfly,2022,2,495319,173,176.0,0,0
Superfly,2023,14,5505993,72,128.64285714285714,0,0
Superfly,2024,20,6641387,159,183.85,0,0
Superfly,2025,48,30913255,29,77.60416666666667,0,0
Suzukisuzuki,2021,18,6365293,57,72.83333333333333,0,0
Suzukisuzuki,2022,33,8192608,77,135.33333333333334,0,0
TOMONARI SORA,2024,37,30432230,7,74.51351351351352,2,0
TOMONARI SORA,2025,1,325977,174,174.0,0,0
